preferredLabel;altLabels
fruit and vegetable preserver;canner of fruit and vegetables
cocoa bean cleaner;cocoa bean cleaner
carbonisation operator;carbonisation machine operator
fish cannery employee;fish canner
process operator flour purification;employee flour purification
canning manufacturer;manufacturer of canned fruit and vegetables
blancher;blanching machine operator
cocoa bean roaster;chocolate maker chocolate producer
animal feed employee;employee animal feed
confectionery machine operator;confectionery worker
cellar operator;fermentation cellar operators
centrifuge operator;centrifuge operator
process operator frozen meals;process operator ready meals
process operator chocolate foundry;chocolate foundry worker
cider fermentation process operator;cider producer
cigarette machine operator;cigarette machine operator
purification plant operator;purification plant operators
cocoa mill process operator;cocoa grinder
cocoa press assistant;cocoa presser
coffee grinder;coffee grinder operators
process operator dairy processing;dairy production assistant
production assistant dairy product manufacture;dairy processor
distillery miller;miller at a distillery
distillery assistant;distillery worker
drying plant employee;grain dryer
spice extract tester;spice blender
beverage filtration technician;employee
employee fat purification;employee fat purification plant
employee fish production;fish processor
food production worker;food factory worker
fruit presser;juicer
germination operator;germination process operator
hydrogenation machine operator;hydrogenation technologist
boiler operator;chewing gum production operators
liqueur blender;liqueur blender
process operator in a liqueur factory;employee in a liqueur factory
malt furnace process operator;malt furnace operator
process operator heat treatment of milk;employee heat treatment of milk
pasta maker operator;pasta maker operator
refinery employee;refiner
blender operator;soft drinks manufacturer
starch process operator;starch processor
process operator starch extraction;starch extractor
sugar factory employee;sugar refining employee
vermouth producer;vermouth production worker
wine digester;vinification expert
yeast distiller;yeast producer
process operator mixer;mixer
brewery employee;beer brewer
bulk filler;bulk goods loader
regional manager;manager of a distribution zone
regional development policy officer;regional development policy officer
nursery school teacher;childcare worker
special primary education teacher;special primary education teacher
special education teacher;special education teacher
special nursery education teacher;special nursery education teacher
home special education teacher;home special education teacher
public housing manager;planning and public housing policy officer
travel agency manager;travel agency manager
home care worker;care and welfare assistant
special secondary education teacher;special secondary education teacher
tourism product manager;tourism manager
tour operator manager;head of travel organisation
tourism contract negotiator;travel agent
destination manager;destination manager
clothes cutter;garment cutter
cloakroom attendant;cloakroom assistant
locker room attendant;locker room assistant
service employee cinema, theatre;usher
attractions employee;fairground employee
learning support assistant;GON supervisor
director of kindergarten;director of day-care centre
assistant director;assistant school leader
primary school director;primary school director
higher education geoscience teacher;higher education geoscience teacher
chemical industry process engineer;chemical industry panel operator
air separation plant operator;employee air separation plant
biogas technician;biogas plant operator
distiller;refinery assistant
refinery operator;petroleum industry technician
pulping operator;paper production operator
power line operating technician;high and low voltage cable laying technician
fossil fuel power plant operation technician;turbine operator
geothermal energy plant operation technician;geothermal energy production operator
hydropower plant operation technician;hydropower plant operator
nuclear power plant operation technician;nuclear power plant maintenance electrician
energy production control room operator;energy control room operator
solar plant operation technician;solar plant operation technician
steam turbine operator;steam turbine turbine operator
gas compression operator;gas pumping station operator
pulp quality controller;pulp and paper quality controller
clothing production manager;head of clothing industry
youth centre manager;youth centre director
malt master;whisky distiller
coffee roaster;coffee producer
milk reception assistant;milk reception logistics assistant
master coffee roaster;coffee producer
nursing home manager;head of nursing home
secretary-general;general chairman
manager gas processing plant;responsible gas processing plant
shift manager refinery;foreman oil refinery
chemical industry production manager;chemical production manager
personal stylist;image stylist
control room operator chemical plant;switchboard operator chemical process industry
gas processing plant control room operator;gas processing plant screen operator
gas processing plant operator;gas distribution plant operator
screen operator refinery;computer operator refinery
oil pump system operator;petroleum pump system operator
mining control room operator;mine supervisor
wellness centre manager;sauna director
university lecturer in literature;university lecturer in literature
clothing designer;fashion designer
apparel product development manager;brand manager
milling machine;operator CNC milling machine
metal turner;operator CNC metal lathe
turner;conventional turner
chemical production quality engineer;chemical product quality controller
food analyst;nutritionist
food quality controller;food technologist
farm milk controller;food and commodities law controller
chemical product developer;plastics technologist
chemical engineer;chemical process engineer
paper production process engineer;paper and board industry engineer
process engineer pharmaceutical industry;project engineer pharmaceutical industry
plastics engineer;plastics engineer
manufacturing engineer;engineer-head of manufacturing workshop
footwear production engineer;footwear assembly-finishing worker
automatic cutting machine leather goods operator;operator automatic cutting machine leather goods
machine operator shoe production;employee shoe factory
shoe and leather goods cutting machine operator;shoe and leather goods cutting machine operator
shoe production machinery maintenance technician;footwear production machinery mechanic
operator shoe stitching machine;operator stitching machine (footwear)
lasts operator;production assistant lasts
shoe factory assistant;insole cutter
production assistant soles and heels;production assistant shoe soles
shoe and leather goods processor;polisher (leather)
food technologist;food technologist
dairy technologist;cheese technologist
food production engineer;food engineer
metal press operator;metal press operator
chief accountant;accounting office manager
budget management controller;budget analyst
project finance manager;project finance manager
manager shoe production;manager shoe manufacturing
leather finishing manager;leather finishing manager
leather goods production manager;leather goods production manager
leather goods quality manager;director of quality in the leather industry
production manager footwear;production manager footwear
financial director;administrative and financial director
controller;accounting inspector
mailroom assistant;post processing administrative assistant
debt collection officer;debt collection officer
insurance collection officer;insurance collection officer
food production planner;food production manager
brewmaster;master brewer
cider master;master in a cider brewery
feed supervisor;feed and meat production supervisor
malting supervisor;malting manager
distillery supervisor;distillery manager
green coffee bean coordinator;green coffee bean coordinator
food production manager;manager in a food factory
sports facility manager;stadium manager
building safety inspector;building safety expert
building safety manager;building safety inspector
labour inspector;occupational hygienist
labour inspector;health and safety inspector
public health and environmental health inspector;environmental inspector
health care inspector;medicines inspector
wet house processing manager;wet processing department manager
leather industry production manager;leather goods industry manager
metal sheet worker;sheet-metal worker
betting office manager;director of betting office
gaming manager;gaming room director
lottery manager;lottery director
casino games manager;head of casino games
casino floor manager;casino pit boss
manager of sales of orthopaedic aids;head of orthopaedic shoe workshop
shoe and leather goods sales manager;shoe and leather goods retail sales manager
shoemaker;artisan shoemaker
public authority inspector;public administration inspector
sports coordinator;sports and recreation coordinator
vocational education teacher;vocational education physical education teacher
lifeguard instructor;lifeguard instructor
sports coach;sports trainer
football coach;football coach
sports instructor;sports initiator
boxing trainer;boxing teacher
golf coach;golf instructor
skating coach;skating instructor
ski instructor;ski coach
snowboard instructor;snowboard instructor
tennis instructor;tennis instructor
receiver;tax collector
higher education anthropology teacher;higher education anthropology teacher
leather goods designer;leather goods designer
leather goods product developer;leather goods product designer
leather goods product development manager;project manager
footwear designer;footwear designer
footwear product developer;footwear designer
manager product development footwear;director product development footwear
higher education vet teacher;higher education vet teacher
cloth product assembly worker;sailmaker
chemical plant manager;chemical plant manager
chemical production operational manager;chemical industry manager
delicatessen sales specialist;delicatessen saleswoman
industrial laundry manager;laundry manager
meat and meat products sales specialist;butchery sales specialist
oxygen burner operator;cutting torch operator
cutter;metallurgy cutter
wire-drawing machine operator;wire-drawing machine operator
wire drawing machine operator;wire drawing plant operator
metal mesh weaving machine operator;wire bending machine operator
metal spring maker;wire processor
cable assembly worker;cable loom fitter
metal sawyer;metal saw machine operator
Jewish butcher;kosher butcher
sales assistant;antique sales assistant
employee car leasing company;counter employee car leasing company
car and van courier;courier service driver
valet parking driver;valet parking employee
lottery assistant;lottery employee
tobacco sales assistant;cigarette sales assistant
lottery ticket sales assistant;national lottery sales assistant
press machine operator;press machine operator
concrete mixer driver;mixer pump operator
nibbling machine operator;punch nibbler
plasma cutting machine operator;plasma cutting machine operator
laser cutting machine operator;laser cutting machine operator
punching machine operator;punching machine operator
water jet cutting machine operator; water jet cutting machine operator
Driver/remover; driver of removal van
theatre technician; theatre technician image
stage technician;theatre technician stage
company relocation officer
bakery shop manager;head of department for bread and pastry bakery
confectioner;confectionery and cake or biscuit specialist
head pastry chef;chef-pâtissier
chocolatier;pralinier
router operator;CNC router operator
set technician;theatre technician scenery
stage assistant;stage assistant
stage engineer; machinist
Automatic rigging system operator;automated technical theatre rigging system operator
Bakery assistant;employee in the bakery
coordinator theatre workshop;coordinator scenery and costume workshop
inspector;stage manager
higher education philosophy lecturer;higher education philosophy lecturer
Head of Human Resources;Director of Human Resources
training officer;training advisor in enterprises
precision mechanic;precision mechanic
manager of precision mechanics;head of department of precision mechanics
costume maker;props and costume maker
dancer;dancer
Muslim slaughterer;employee Muslim slaughterhouse
slaughterer;butcher
recruiter;personnel consultant recruitment and selection
taxi planner;taxi dispatcher
fish, crustaceans and molluscs sales specialist;musselman
motor vehicle sales specialist;used-vehicle salesman
grinder operator;deburring machine operator
financial director of a banking company;financial manager of a banking company
dance teacher;dance teacher
drama teacher;drama teacher
metal construction works supervisor;metal construction foreman
costume designer theatre, film, television;costume designer theatre, film, television
pastoral worker;church social worker
agricultural machinery and equipment representative;agricultural machinery and equipment sales representative
production engineer;engineer-head of production process line
test engineer;responsible for testing and adjusting methods in industry/nmf
business consultant;business advisor
railway passenger service employee;railway passenger service employee
train driver;train driver railways
car parts consultant;car parts saleswoman
video and sound media sales specialist;CD and DVD sales specialist
forecast manager;demand planning manager
policy officer;policy officer
ICT research manager;technology innovation manager
policy officer labour market;policy officer labour market
employment programme coordinator;employment programme coordinator
sports and camping goods sales specialist;sports goods sales specialist
building materials sales specialist;do-it-yourself shop sales specialist
producer;production manager
theatre production assistant;assistant to the theatre director
theatre director;stage director
prop maker;prop maker
executive producer; production manager
stage manager;stage manager
absorbent bandage operator;production assistant absorbent bandages
bleaching plant operator;bleaching plant machine operator
paper machine operator;paper machine process operator
paper goods machine operator;creasing perforating machine operator
technical operator pulp production;paper and cardboard industry operator
paper factory manager;paper or cardboard production workshop manager
commercial railway employee; commercial station attendant
ticket vendor;ticket seller
nursery manager;childcare manager
audiovisual technical assistant; technical assistant for audio equipment rental
roadie;instrument technician
sound engineer;sound engineer
moving light technician;automatic moving light technician
lighting desk operator;lighting console operator
spotter;spotter operator
cameraman;cameraman
cinematographer;camera director
casting director;casting director
lighting director;lighting technician
dispatcher;person responsible for rail traffic
dispatcher trains;dispatcher of trains
clothing sales specialist;men's clothing sales specialist
rubber production machine operator;rubber worker
belt maker;belt maker
rubber production operator;all-round chemical industry operator
foam rubber operator;mattress machine operator
rubber cutting machine operator;rubber sheet production worker
rubber moulding machine operator; rubber processing machine operator
rubber presser; production worker for belts
tyre maker; tyre maker
tyre vulcaniser;tyre repairer
production worker V-belts;production worker V-belts
retreader V-belts;retreader v-belts
V-belts finishing operator;V-belts finishing operator
programme manager; television programme manager
film and video editor;film editor
special effects specialist;special effects specialist
post production manager; post production manager
sales specialist household appliances;salesperson household appliances
audio and video equipment sales specialist;audio and video equipment sales assistant
waste treatment site manager;head of operation of a waste incineration plant
extra; extras
higher education history teacher;higher education history teacher
higher education archaeology lecturer;higher education archaeology lecturer
optical instrument maker;optical instrument maker
optical instrument repairer;optical instrument repairer
sound editor;film composer
sound mastering engineer;audio mastering technician
studio recording engineer;recording studio technician
baggage handler;air cargo loader-unloader
stevedore;goods handler at port
health care psychologist;health care psychologist
educational psychologist;educational psychologist
sound engineer;sound assistant
sound operator;sound employee
sound artist;sound artist
psychology assistant;psychodiagnostic assistant
location manager;location manager
precision instrument maker;precision instrument maker
video and cinema film producer;video producer
tool grinder;tool sharpener
radio production manager;radio producer
film assistant;assistant to the film director
script supervisor;script girl
aerospace engineer;aircraft engineer
mechanic of aircraft de-icing systems;mechanic de-icing systems (aircraft)
order picker;order picker
animation director;animation director/producer
hardware and paint sales specialist;hardware and tools sales specialist
warehouse manager;goods warehouse manager
scriptwriter;dialogue writer
prop writer;prop master
stuntman;stuntwoman
Refrigeration, air and heating engineer;HVACR engineer
Radio and television technician;radio and television technician
Manager multimodal logistics;manager storage and transhipment company
technical draughtsman in mechanical engineering;mechanical studies draughtsman
voice-over;voice actor
technical draftsman shipbuilding;draftsman shipbuilding
marketing manager;head of marketing
sales manager;commercial director
purchasing coordinator;purchasing coordinator
buyer; purchaser
head of purchasing;purchasing manager
marketer;marketer
data analyst;data analyst
port crane driver;container crane driver
technical draftsman vehicle construction;draftsman car bodywork
advertising assistant;advertising assistant
wall and floor covering sales specialist;flooring sales specialist
visual merchandiser;window dresser
slimming consultant;slimming coach
media consultant;media consultant
creative director;creative director of advertising
advertising manager;communications manager
media planner;web planner
asset manager;wealth manager
financial broker;broker
stockbroker;securities salesperson
issuer of securities;securities underwriter
stock broker;stock broker
financial trader;securities trader
futures trader;trader in futures
securities dealer;securities trader
stockbroker;stock trading supervisor
stevedoring company manager;port terminal manager
toy sales specialist;toy saleswoman
port controller;radar observer port
pilot;Scheldemond pilot
aircraft designer-designer;aircraft designer
auctioneer;auction coordinator
auction house director;auction house manager
ship broker;shipbroker
telecom products sales specialist;telecommunications equipment sales specialist
estate agent;estate agent
textile sales specialist;fabric seller
second-hand goods sales specialist;recycled goods sales specialist
furniture sales specialist;specialised furniture salesman
sailor-engine driver;engine driver
healthcare products and tools sales specialist;pharmacist
agent;agent
general manager for inland waterway transport;general manager for inland waterway transport
appraiser of movable property;appraiser of paintings
specialist business acquisition valuation;mergers and acquisitions advisor
Jewish slaughterer;kosher slaughterer
butcher;meat butcher
fruit and vegetable sales specialist;greengrocer
bread and pastry sales specialist;bakery sales assistant
property manager;property manager
property rental manager;property rental manager
property manager;property manager
refrigeration, air and heating engineer;air technology engineer
petrol station sales assistant;petrol pump attendant
video rental assistant;video lending assistant
car rental assistant;rental assistant in a car rental company
rental employee motor vehicles;rental employee motor vehicles
book publisher;publisher
embalmer;funeral director
automotive engineer;automotive engineer
captain;captain of passenger ships
machinery and tool designer-constructor;tool designer-constructor
robotics engineer;robo-advisor
application engineer;systems development engineer
component engineer;component engineer
design engineer industrial equipment;design engineer mechanical engineering
political science lecturer higher education;political science lecturer
laundry assistant;laundry assistant
naval architect;ship designer
vehicle designer;car designer
light sailor;inland navigation light sailor
heating and air-conditioning engineer;hvac engineer
toy shop manager;toy sales department manager
deckhand;deckwoman
deckhand;sailor
manager sales of sports and camping articles;sales manager sports and outdoors
shop manager telecom;manager telecom shop
manager fabric shop;retail sales manager textile
manager thrift shop;manager thrift shop
Mechanical engineer;mechanical engineer
Retail wall and floor covering manager;branch manager wall and floor covering sales
manager of weapons sales;weapons sales specialist
ammunition sales specialist;weapons sales specialist
higher education psychology lecturer;psychology lecturer
home improvement shop manager;home improvement store manager
higher education law lecturer;higher education law lecturer
horse breeder;horse breeder
dredger driver;dredger crane driver
antique dealer;art sales specialist
pipeline operator;refinery operator
books, periodicals and stationery sales specialist;specialised bookseller
newspaper, magazine and stationery sales specialist;newspaper, magazine and stationery sales specialist
higher education chemistry teacher;higher education chemistry teacher
sociology lecturer in higher education;lecturer in social studies in higher education
lecturer in higher education in linguistics;lecturer in linguistics
medical devices sales manager;pharmacy manager
picker;mushroom picker
agricultural worker;farm labourer
gardener;assistant horticultural worker
audio and video shop manager;department manager sales of audio and video equipment
department store manager;supermarket manager
regional retail manager;district retail manager
shop manager;branch manager
wholesaler; wholesaler
wholesaler of electrical household appliances;wholesaler of electrical household appliances
wholesaler of furniture, carpets and lighting equipment;wholesaler of furniture, carpets and lighting equipment
wholesaler of live animals;wholesaler of livestock
wholesaler of office furniture;wholesaler of office furniture
wholesaler of cosmetics and perfumes;wholesaler of perfumes and cosmetics
wholesaler of pharmaceutical products;wholesaler of medicinal products
wholesaler of jewellery and watches;wholesaler of watches and jewellery
civil engineering professional;civil engineering professional
marshaller;apron officer
games, multimedia and software sales specialist;electronic games salesman
higher education teacher in religious studies;higher education teacher in religious studies
import-export specialist;import and export specialist
pet and animal products sales specialist;pet shop sales specialist
commercial pilot;commercial pilot
import-export manager;head of customs affairs
agricultural machinery and equipment import and export specialist;agricultural machinery and equipment import and export specialist
specialist import and export of electrical household appliances;specialist import and export of electrical household appliances
specialist import and export of electronic and telecommunications equipment;specialist import and export of electronic and telecommunications equipment
specialist import and export of fish, crustaceans and molluscs;specialist import and export of fish, crustaceans and molluscs
specialist import and export of flowers and plants;specialist import and export of flowers and plants
fruit and vegetable import and export specialist;fruit and vegetable import and export specialist
specialist import and export of furniture, carpets and lighting equipment;specialist import and export of furniture, carpets and lighting equipment
specialist import and export of hardware, sanitary and heating equipment;specialist import and export of hardware, sanitary and heating equipment
specialist import and export of hides, skins and leather goods;specialist import and export of hides, skins and leather goods
specialist import and export of household goods;specialist import and export of household goods
specialist import and export of live animals;specialist import and export of live animals
specialist import/export of agricultural raw materials, seeds and animal feed;specialist import/export of agricultural raw materials, seeds and animal feed
specialist import and export of machinery, industrial equipment, ships and aircraft;specialist import and export of machinery, industrial equipment, ships and aircraft
machine tool import and export specialist;machine tool import and export specialist
meat and meat products import/export specialist;meat and meat products import/export specialist
metal and ores import/export specialist;metal and ores import/export specialist
specialist import and export of mining, construction and civil engineering machinery;specialist import and export of mining, construction and civil engineering machinery
specialist import and export of office furniture;specialist import and export of office furniture
office machinery and equipment import/export specialist;office machinery and equipment import/export specialist
cosmetics and perfumes import/export specialist;cosmetics and perfumes import/export specialist
pharmaceutical import and export specialist;pharmaceutical import and export specialist
sugar, chocolate and confectionery import/export specialist;sugar, chocolate and confectionery import/export specialist
specialist import and export of beverages;specialist import and export of beverages
specialist import and export of machinery for the textile industry;specialist import and export of machinery for the textile industry
specialist import and export of textiles and textile intermediate products and raw materials;specialist import and export of textiles and textile intermediate products and raw materials
specialist import and export of tobacco products;specialist import and export of tobacco products
specialist import and export of waste and scrap;specialist import and export of waste and scrap
jewellery and timepieces import and export specialist;jewellery and timepieces import and export specialist
specialist import and export of wood and building materials;specialist import and export of wood and building materials
chemicals import and export specialist;chemicals import and export specialist
specialist import and export of china, glass and earthenware;specialist import and export of china, glass and earthenware
specialist import and export of clothing and footwear;specialist import and export of clothing and footwear
specialist import and export of coffee, tea, cocoa and spices;specialist import and export of coffee, tea, cocoa and spices
specialist import and export of computers, peripherals and software;specialist import and export of computers, peripherals and software
dairy products and edible oils import/export specialist;dairy products and edible oils import/export specialist
agricultural machinery and equipment import-export manager;agricultural machinery and equipment customs manager
import-export manager household appliances;customs manager electrical household appliances
import-export manager electronic and telecommunications equipment and related parts;import-export manager electronic and telecommunications equipment and related parts
fish and shellfish import-export manager;fish and shellfish import-export supervisor
import-export manager flowers and plants;customs manager flowers and plants
import-export manager fruit and vegetables; import-export manager fruit and vegetables
Furniture, Carpets and Lighting Import-export manager;Customs Manager Furniture, Carpets and Lighting
import-export manager hardware, plumbing and heating products;customs manager hardware, plumbing and heating products
import-export manager hides, skins and leather goods;import-export manager hides, skins and leather goods
import-export manager household goods;import-export supervisor consumer goods
import-export manager live animals;supervisor import-export live animals
import-export manager agricultural commodities, seeds and animal feed;customs compliance manager agricultural commodities, seeds and animal feed
import-export manager machinery, industrial equipment, ships and aircraft;import-export manager machinery, industrial equipment, ships and aircraft
import-export manager machine tools;manager import-export company machine tools
meat and meat products import-export manager;meat and meat products export manager
metal and metal ore import-export manager;metal and metal ore import manager
import-export manager machinery for mining, construction and civil engineering;customs manager machinery for mining, construction and civil engineering
import-export manager office furniture;manager international trade office furniture
import-export manager office machinery and equipment;customs compliance manager office machinery and equipment
cosmetics and perfumes import-export manager;cosmetics and perfumes import forwarder
pharmaceutical import-export manager;pharmaceutical import-export manager
sugar, chocolate and confectionery import-export manager;freight forwarder sugar, chocolate and confectionery import-export manager
beverage trade import-export manager;manager import-export company beverage trade
import-export manager machinery for textile industry;manager transit machinery for textile industry
import-export manager textiles, textile raw materials and semi-finished goods;department head international transit textiles, textile raw materials and semi-finished goods
import-export manager tobacco products;manager international trade tobacco products
import-export manager recyclables;head of customs affairs waste and scrap
import-export manager watches and jewellery; import-export manager watches and jewellery
wood and building materials import-export manager;wood and building materials import-export manager
chemicals import-export manager;head of customs affairs for chemicals
china and glassware import-export manager;manager of china and glassware import-export company
import-export manager clothing and footwear;customs manager clothing and footwear
coffee, tea, cocoa and spices import-export manager;coffee, tea, cocoa and spices import-export manager
import-export manager computers, peripherals and software;import-export manager computers, peripherals and software
import-export manager dairy products and edible oils;manager transit dairy products and edible oils
real estate agent;broker
advertisement and advertising agent;advertisement salesperson
commercial representative;sales representative
chemical products sales representative;chemical products sales representative
ICT vendor relationship manager;ICT vendor supplier manager
Ict account manager;it account manager
pre-sales engineer;ict presales engineer
medical sales representative;medical products representative
technical representative;technical sales representative
technical sales representative;sales representative
livestock employee;farmhand
motorbike courier;motorbike courier
bicycle courier;bicycle courier
installer of traffic signs;installer of traffic signs
poultry sexer;chicken sexer
catcher;chicken cleaner
hydrologist;water analysis expert
road inspector;assistant road maintenance man
aviation safety coordinator;aviation safety coordinator
avionics inspector;aircraft electrical compliance inspector
aviation safety officer;airport safety supervisor
airport inspector;flight examiner
ILT inspector;ILT supervisor
ILT inspector rail transport;rail safety specialist
rolling stock engine tester;train engine tester
rolling stock engine inspector;rolling stock technician
rolling stock inspector;railway safety operator
ship inspector;ship expert
ILT shipping inspector;supervising inspector of Shipping Environment and Transport Inspectorate
wine growing employee;wine growing employee
jewellery and watch sales specialist;jeweller
personal shopper;personal shopper
beekeeper;apiarist
honey extractor;honey turner
optical sales specialist;contact lens sales specialist
shoe and leather goods sales specialist;leather goods sales specialist
meat and charcuterie sales manager;supermarket butcher sales manager
supermarket manager;supermarket branch manager
building materials sales manager;building materials retailer
motor vehicle sales manager;car sales manager
kitchens and bathrooms sales manager;retail sales manager kitchens and bathrooms
manager magazine shop; department manager book, magazine and stationery sales
bookshop manager;branch manager sales of books, magazines and stationery
computer shop manager;computer shop manager
drugstore manager;cosmetics and perfume shop manager
clothes shop manager;retail sales manager men's clothes
pet shop manager;animal and pet products retail sales manager
drugstore manager;drugstore branch manager
photo shop manager;photography department manager
retail department manager;director of hypermarket departments
DIY shop manager;head of DIY department
jewellery shop manager;jewellery store manager
bicycle shop manager;bicycle dealer
hop grower;hop grower
civil engineering diver;underwater works operator
civil engineering foreman;head of underwater works
rescue diver;salvage diver
engineer water supply;engineer sanitary water treatment
Aquaculture recirculation systems manager;RAS manager
civil engineer;construction designer-designer
petrol station manager;petrol station manager
vegetable shop manager;vegetable trader
lecturer in higher education;lecturer in art sciences
beverage store manager;liquor store manager
septic tank maintenance worker;septic tank maintenance worker
sewerage engineer;sewerage worker
sewer laying foreman;sewer project manager
sewer worker;sewer worker
roller driver;compactor driver
sewer maintenance engineer;sewer inspector
wastewater engineer;sewerage project manager
confectionery shop manager;confectionery & gift shop manager
sewerage and water management manager;head of water treatment plant operation
bulldozer operator;bulldozer operator
excavator operator;earthmoving machine operator
dredging project manager;dredging project manager
delicatessen shop manager;delicatessen shop manager
grader driver;grader operator
scraper driver;scraper machinist
dairyman;butter maker
machine operator overhead mining;backhoe loader driver
building cost consultant;building project cost expert
mixed farm farmer;mixed farm farmer
farm manager in agriculture;agronomic foreman in agriculture
agricultural product manager;farm manager
construction machinery mechanic;construction machinery service technician
tobacco shop manager;branch manager sales of tobacco and convenience goods
fish shop manager;branch manager sales of fish, crustaceans and molluscs
fishmonger;fish salesperson
crane mechanic;surface-mounted crane mechanic
farm manager;farmer
livestock breeder;animal keeper
technician land surveyor;assistant land surveyor-topographer
remote sensing technician;remote sensing researcher
rental manager;manager of rental department
asbestos remover;asbestos fibre remover
decontamination employee;soil remediation employee
demolition foreman;demolition foreman
cartographer;cartographer
blasting master;blasting master/demolisher
shooting master;explosives expert
team leader terrazzo floor layer;terrazzo floor layer
terrazzo layers;terrazzo fitter
surveyor;geodesist
green space worker;green space assistant
geographic information systems specialist;geographic information systems specialist
tree surgeon;arborist
plasterer foreman;plasterer-filler
flooring team leader;flooring team leader
indoor garden architect;indoor garden designer
fish cage technician;fish cage technician
recirculation technician in aquaculture;recirculation technician in aquaculture
aquaculture technician;aquaculture technician in water
harvesting technician in aquaculture;aquaculture technician
aquaculture farm technician;aquaculture hatchery technician
aquaculture technician;worker in a hatchery
hatchery technician in aquaculture;hatchery technician in aquaculture
hatchery technician in aquaculture;hatchery technician in aquaculture
harvester in aquaculture;harvester in aquaculture
geologist engineer;geophysicist
geotechnical engineer;geotechnical mining engineer
antique shop manager;manager of antique sales
aquaculture business manager;fish farm manager
music shop manager;department manager sales of image and sound carriers
cemetery employee;gravedigger
manager multimedia shop;branch manager software and multimedia sales
teaching assistant secondary school;class assistant secondary school
student supervisor;student counsellor
vocational reception teacher;vocational reception teacher
director of educational institution;director
white goods shop manager;white goods manager
hobby shop manager;manager of a hobby shop
network marketer;network marketing entrepreneur
sign maker;letterer
online marketer;internet marketer
search engine optimisation expert;search engine optimiser
operations manager;operations manager
blood collection assistant;physician assistant blood collection
terminal care assistant;terminal care assistant
process technician;process technologist
market and street trader;market and street vendor
clinical psychologist;clinical psychologist
ICT business analysis manager;IT business analysis director
ICT business analyst;ICT business analyst
legal adviser;legal consultant
head of gaming compliance and information security;compliance officer
machine assembly coordinator;mechanical assembly coordinator
wood assembly coordinator;wood assembly foreman
head of electrical equipment production;head of electrical materials production line
electronics production leader;head of electronic materials production line
subsidy coordinator;administrative assistant subsidy and exemption applications
grants consultant;grants and projects adviser
programme manager;programme coordinator
machine assembly manager;machine assembly manager
business intelligence manager;BI consultant
regulatory affairs officer;regulatory affairs manager
governor;provincial governor
database designer;database developer
database developer;database programmer
data scientist;research analyst
big-data archive librarian;digital librarian
data quality specialist;data quality manager
radiation protection technician;nuclear safety technician
radiation protection officer;radiation protection engineer
Maintenance engineer;Repair and maintenance engineer
hazardous waste inspector;hazardous waste safety adviser
resource manager;manager resources
hospital and operations planner;ok planner
secondary school classical languages teacher;secondary school Latin teacher
miller;flour mixer
developer of software for mobile devices for industrial use;industrial mobile devices software developer
software architect;software designer
software analyst;application analyst
material tester technician;material testing technology scientist
non-destructive testing specialist;NDT specialist
materials scientist;materials science engineer
metallurgy technician;researcher metallurgy
life coach;life coach
it research consultant;it research consultant
digital forensics expert;digital investigator
automation technician;industrial automation designer
coroner;forensic physician
3D printing technician;3D printing technician
3D modeller;CGI modeller
sophrologist;specialist caycedian sophrologist
archaeologist;historian
water treatment plant mechanic;water treatment plant installer
brake fitter;brake technician
battery mechanic;battery fitter
vehicle electronics mechanic;car electronics mechanic
scaffolding mechanic;scaffolding construction foreman
scaffold builder;scaffolding builder
stage builder;event technology assistant
marquee builder;marquee technician
repairer of household appliances;refrigerator repairer
animation filmmaker;CGI animator
tourist guide;tour guide
back office assistant financial markets;back office assistant financial markets
investment administrative assistant;investment administrative assistant
real estate administrative assistant;real estate administrative assistant
stonemason; stone worker
stone polisher;natural stone polisher
operator flat polisher;operator stone sander
stone splitter;stone cutter
netknotter;netknotter
ICT network technician;network repairer
patent engineer;patent examiner
intellectual property consultant;patent consultant
licensing manager;licensing manager
web printer;printer (web printing)
offset printer;offset print operator
coke oven filler;coke unloader
teaching assistant;class assistant nursery school
teaching assistant primary education;class assistant primary education
education inspector;education inspector
education administrator;education coordinator
instructional designer;instructional developer
educational researcher;educational pedagogue
desktop publisher;graphic designer
optical shop manager;optics manager
optician;glasses salesperson
optician specialist;optician sharpener
Forestry executive;wood production foreman
bridge inspector;technical inspector
street performer;street musician
social pedagogical assistant;social pedagogue
orthopaedic shoemaker;orthotist
orthoptist;orthopaedist
osteopath;practitioner of osteopathy
animal osteopath;animal therapist
employment agency;employment consultant
roofer;thatcher
parking inspector;community warden
public prosecutor;public prosecutor
private driver;company driver
CAD pattern designer;CAD fashion designer
CAD pattern maker ready-to-wear;CAD pattern maker (clothing)
grader;pattern maker grader
digital pattern maker;digital pattern grader
pattern designer ready-to-wear;pattern maker (apparel)
CAD footwear pattern maker;CAD footwear pattern maker
footwear pattern maker;footwear pattern maker
CAD pattern maker leather goods;CAD pattern maker leather goods
leather goods pattern maker;leather goods pattern maker
pedicurist;nail stylist
furrier;furrier
ironer;ironing workshop assistant
presser;clothes presser laundry
personnel officer;HR consultant
oil refining engineer;reservoir engineer
petroleum engineer;petroleum engineer
poultry farmer;chicken farmer
assistant-podologist;podiatry assistant
security officer;head of catering security
vocational transport technology teacher;vocational transport technology teacher
sailing instructor;sailing instructor
taxidermist;taxidermist
presenter;hostess
monk/nun;monk
missionary;missionary
industrial production technician;machine tool technician
planning engineer leather production;production planning employee leather industry
